source_text_sample	source_hash	occurrences	surface_count	surfaces	locations	manual_translations
Featuring Attack on Titan	ec459cffb163	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002230:0 | tbl:tbl1.pak:0x0162938F	
Featuring Dandandan	a08c96a0104b	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002250:0 | tbl:tbl1.pak:0x016293E9	
Featuring Hatake Kakashi Female Costume from Naruto.	efc52440c05d	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002360:0 | tbl:tbl1.pak:0x016295F5	
Featuring Hatake Kakashi Female Hair and Mask from Naruto.	5d56b37e2305	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002430:0 | tbl:tbl1.pak:0x016298C1	
Featuring Kamado Tanjiro Female Costume from Demon Slayer.	7a9a947d1b40	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002350:0 | tbl:tbl1.pak:0x0162957B	
Featuring Kamado Tanjiro Female Hair from Demon Slayer.	54f82a6b384a	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002420:0 | tbl:tbl1.pak:0x0162984D	
Featuring Kujo Jotaro Hat from JoJo Bizarre Adventure.	4805d3e36927	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002440:0 | tbl:tbl1.pak:0x0162993B	
Featuring Kujo Jotaro Outfit from JoJo Bizarre Adventure.	4b72d6098b2b	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002450:0 | tbl:tbl1.pak:0x016299AD	
Featuring Kurosaki Ichigo Female Costume from Bleach.	35de36da3f2f	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002340:0 | tbl:tbl1.pak:0x0162950B	
Featuring Kurosaki Ichigo Female Hair from Bleach.	186d1b10cd6a	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002400:0 | tbl:tbl1.pak:0x01629793	
Featuring One Piece in EggHead	f0aa95cc3a50	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002270:0 | tbl:tbl1.pak:0x0162944B	以《海贼王》为主题的背饰 [taiwan:table_text_all_data.rdf:3:70002270:0]
Featuring One Piece Oda Genius	846bd7b48121	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002280:0 | tbl:tbl1.pak:0x0162948D	
Featuring Uzumaki Naruto Costume.	83578fa4a339	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70002460:0 | tbl:tbl1.pak:0x01629A25	
Female Goku Hair	ee1b973fa7ce	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000241:0 | tbl:tbl1.pak:0x014B4BF1	
Female Goku Outfit	b5d8a1f255fb	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000237:0 | tbl:tbl1.pak:0x014B4B53	
Female Ichigo Hair	4c9f6bdfc8ff	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000240:0 | tbl:tbl1.pak:0x014B4BC7	
Female Tanjiro Hair	c774dd54f040	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000242:0 | tbl:tbl1.pak:0x014B4C17	
Female Tanjiro Outfit	a65d45986d31	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000235:0 | tbl:tbl1.pak:0x014B4AF3	
Fire Wings	061b21d9d147	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000220:0 | tbl:tbl1.pak:0x014B497D	火翅膀 [taiwan:table_text_all_data.rdf:3:7000220:0]
For now, you can only have 10 Resets.	556ab0368c0e	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DIALOG_RESET | lang0:lang0.pak:DST_DIALOG_RESET	
Friends Only	34539510faa4	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_PERF_PLAYER_FILTER_FRIENDS | lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_FRIENDS	仅好友 [lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_FRIENDS]
Gaia Of Limiter	98dc36150563	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:826380:0 | tbl:tbl1.pak:0x012F634D	
Gamble Test03	509c7c58090b	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2532101:0 | tbl:tbl1.pak:0x00519DC6	
Gamble Test04	3b7dbb2aca28	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2532201:0 | tbl:tbl1.pak:0x005276F6	
Gamble Test05	e5dd8a87c49d	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2533101:0 | tbl:tbl1.pak:0x00527922	
Gladiator Dogi But with a Cool Design	7fb8d861269b	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111702991:0 | tbl:tbl1.pak:0x0169333B	
GM	a66864f45a5a	2	2	lang0,taiwan	taiwan:local_data.dat:DST_TELEPORT_TYPE_GM | lang0:lang0.pak:DST_TELEPORT_TYPE_GM	
Goal Required	ed2fcea7816d	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_ESSENTIAL_TITLE | lang0:lang0.pak:DST_DWC_ESSENTIAL_TITLE	
Goku Drip	3331ce3b8b8f	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000247:0 | tbl:tbl1.pak:0x014B4CCD	
Good Game	86da3bd59ab5	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:1:100652:0 | tbl:tbl1.pak:0x012D05C5	
Goods Merchant	f52b997bbf7c	2	2	lang0,tbl	lang0:lang0.pak:DST_JOB_GOODS_MERCHANT | tbl:tbl1.pak:0x01714ACE	
Grand Chef Majin	c23516490ca9	2	2	lang0,tbl	lang0:lang0.pak:DST_GRAND_MA | tbl:tbl1.pak:0x01863097	格兰魔 [lang0:lang0.pak:DST_GRAND_MA]
Guild Name	b56c61781c85	2	2	lang0,tbl	lang0:lang0.pak:DST_DOJO_INFO_GUILD_NAME | tbl:tbl1.pak:0x01867C0D	
Guild Only	32a3fcf5ebaf	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_PERF_PLAYER_FILTER_GUILD | lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_GUILD	仅公会 [lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_GUILD]
Gun Maniac	7437ac254446	2	2	lang0,tbl	lang0:lang0.pak:DST_GUN_MANIA | tbl:tbl1.pak:0x0186303F	
Guts Screen Arrey  1	65b9c334d80c	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:5730680:0 | tbl:tbl1.pak:0x013F3D4D	
Guts Screen Arrey  3	2c37688a0ca5	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:5730690:0 | tbl:tbl1.pak:0x013F3E3D	
Guts Screen Arrey  5	85536a496f24	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:5730700:0 | tbl:tbl1.pak:0x013F3F2D	
Guts Screen Arrey  7	b252ef7dea8c	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:5730710:0 | tbl:tbl1.pak:0x013F401D	
Guts Screen Arrey 9	65e27cdd91f2	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:5730720:0 | tbl:tbl1.pak:0x013F410D	
Guts Screen  Cluster 3	c592d7056595	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:6130550:0 | tbl:tbl1.pak:0x0143B425	
Guts Screen  Cluster 5	efe22f75745b	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:6130560:0 | tbl:tbl1.pak:0x0143B519	
Guts Screen  Cluster 7	56f7160dd177	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:6130570:0 | tbl:tbl1.pak:0x0143B60D	
Guts Screen  Cluster 9	b1be5423b6bd	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:6130580:0 | tbl:tbl1.pak:0x0143B701	
Hero Info	97ce18d14b1d	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_HERO_TITLE | lang0:lang0.pak:DST_DWC_HERO_TITLE	
Hide All	556020f395f3	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_PERF_PLAYER_FILTER_HIDE_ALL | lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_HIDE_ALL	隐藏全部 [lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_HIDE_ALL]
Hide Mascots/Pets	2b15971f4565	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_PERF_HIDE_MASCOT | lang0:lang0.pak:DST_OPTION_PERF_HIDE_MASCOT	隐藏宠物 [lang0:lang0.pak:DST_OPTION_PERF_HIDE_MASCOT]
Hide Player Effects	fd9343aa6ece	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_PERF_HIDE_PLAYER_EFFECTS | lang0:lang0.pak:DST_OPTION_PERF_HIDE_PLAYER_EFFECTS	隐藏玩家效果 [lang0:lang0.pak:DST_OPTION_PERF_HIDE_PLAYER_EFFECTS]
Hides all combat effects from other players (skills, attacks, projectiles). Only your own effects will be visible.	b52dbfcfc988	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_PERF_HIDE_PLAYER_EFFECTS_TOOLTIP | lang0:lang0.pak:DST_OPTION_PERF_HIDE_PLAYER_EFFECTS_TOOLTIP	
Hides other players' mascots and pet summons	dd9015cb9b5b	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_PERF_HIDE_MASCOT_TOOLTIP | lang0:lang0.pak:DST_OPTION_PERF_HIDE_MASCOT_TOOLTIP	
Hit Rate	27a36c2c2dcf	2	2	lang0,tbl	lang0:lang0.pak:DST_STATUS_ATTACK_RATE | tbl:tbl1.pak:0x01860543	命中率 [lang0:lang0.pak:DST_STATUS_ATTACK_RATE]
Human Outfit	568f1e1fea07	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111702930:0 | tbl:tbl1.pak:0x01693017	人类套装 [taiwan:table_text_all_data.rdf:3:111702930:0]
Hyperbolic Time Chamber;	c248981e59f8	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:10:200280000:0 | tbl:tbl1.pak:0x01816F94	
Increases skill power by %d%%.	b3a4bff1a742	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_RPBONUS_TOOLTIP_RESULT_PERCENT | lang0:lang0.pak:DST_SKILL_RPBONUS_TOOLTIP_RESULT_PERCENT	
Individual Registration	558511214089	2	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_INDI_REGISTER | lang0:lang0.pak:DST_BUDOKAI_NOTICE_INDI_REGISTER	
Individual State	8df0cd6e2785	2	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_INDI_STATE | lang0:lang0.pak:DST_BUDOKAI_NOTICE_INDI_STATE	
Individual Winner	ed17d1dfbb75	2	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_INDI_WINNER | lang0:lang0.pak:DST_BUDOKAI_NOTICE_INDI_WINNER	
Information	0eb5ed506e49	2	2	lang0,tbl	lang0:lang0.pak:DST_QUEST_TEXT_CONVERSATION | tbl:tbl1.pak:0x0186803D	
Invalid dice roll.	747a9f49459f	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_ITEM_DICE_FAIL_INVALID_DICE | lang0:lang0.pak:GAME_ITEM_DICE_FAIL_INVALID_DICE	
Invalid party for dice.	e01a6ffdb115	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_ITEM_DICE_FAIL_INVALID_PARTY | lang0:lang0.pak:GAME_ITEM_DICE_FAIL_INVALID_PARTY	
Invalid roleplay.	642f0df0a625	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_PARTYMATCHING_ROLEPLAY_INVALD | lang0:lang0.pak:GAME_PARTYMATCHING_ROLEPLAY_INVALD	
Item broke during upgrade.	63a1fb01c8f9	2	2	lang0,taiwan	taiwan:local_data.dat:DST_TABITEMUPGRADE_RESULT_BROKEN | lang0:lang0.pak:DST_TABITEMUPGRADE_RESULT_BROKEN	
Item durability is too low.	36bc57171c41	2	2	lang0,taiwan	taiwan:local_data.dat:DST_TABITEMUPGRADE_DUR_ERR | lang0:lang0.pak:DST_TABITEMUPGRADE_DUR_ERR	
Item not equipped for dice.	02150dd433e9	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_ITEM_DICE_FAIL_NOT_EQUIPED | lang0:lang0.pak:GAME_ITEM_DICE_FAIL_NOT_EQUIPED	
Jotaro Hat	4736b4ce3979	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000244:0 | tbl:tbl1.pak:0x014B4C73	
Jotaro Outfit	8f3085bc6a2d	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000245:0 | tbl:tbl1.pak:0x014B4C8D	
K.O	0b4cb50804c5	2	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_MINORMATCH_KOCOUNTER_TITLE | lang0:lang0.pak:DST_BUDOKAI_MINORMATCH_KOCOUNTER_TITLE	
Kaioken Boost is not available in this form.	726f4fe17239	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_KAIOKEN_BOOST_NOT_AVAILABLE | lang0:lang0.pak:GAME_KAIOKEN_BOOST_NOT_AVAILABLE	界王拳强化在此形态下不可用。 [taiwan:local_data.dat:GAME_KAIOKEN_BOOST_NOT_AVAILABLE] | 界王拳强化在此形态下不可用。 [taiwan:local_sync_data.dat:GAME_KAIOKEN_BOOST_NOT_AVAILABLE]
Kaioken Boost requires aura to be active.	92dee91a872f	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_KAIOKEN_BOOST_REQUIRES_AURA | lang0:lang0.pak:GAME_KAIOKEN_BOOST_REQUIRES_AURA	界王拳强化需要气场处于激活状态。 [taiwan:local_data.dat:GAME_KAIOKEN_BOOST_REQUIRES_AURA] | 界王拳强化需要气场处于激活状态。 [taiwan:local_sync_data.dat:GAME_KAIOKEN_BOOST_REQUIRES_AURA]
Kakashi Hair and Mask	c355610bca69	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000243:0 | tbl:tbl1.pak:0x014B4C43	
Kami's Lookout	a03682710215	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:10:999998:0 | tbl:tbl1.pak:0x01809006	
Karma Majin	f54067bf331a	2	2	lang0,tbl	lang0:lang0.pak:DST_KAR_MA | tbl:tbl1.pak:0x018630DB	卡尔魔 [lang0:lang0.pak:DST_KAR_MA]
Kraken Ring Remastered (A)!	f2831c640f42	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:9924:0 | tbl:tbl1.pak:0x012D8DE5	
Left Party	fd851967288f	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_PARTY_LEAVE | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_PARTY_LEAVE	
Level %d and above	fe22bad46c5d	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_PLAYLEVEL | lang0:lang0.pak:DST_DWC_PLAYLEVEL	
Log Out	4e8131ca3794	2	2	lang0,tbl	lang0:lang0.pak:DST_MAINMENU_END_SESSION | tbl:tbl1.pak:0x01860C45	回角色 [lang0:lang0.pak:DST_MAINMENU_END_SESSION]
Losing	dfe1fdb10a9d	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_TITLE | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_TITLE	
Lucy Hair	6fe46ea5344e	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000213:0 | tbl:tbl1.pak:0x014B48DB	露西发型 [taiwan:table_text_all_data.rdf:3:7000213:0]
Lv. %d ~ %d	218303763c18	2	2	lang0,taiwan	taiwan:local_data.dat:DST_WORLDMAP_RECOMMENDED_LEVEL | lang0:lang0.pak:DST_WORLDMAP_RECOMMENDED_LEVEL	
Lv.1	4afacf67b5a6	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_CURENT_LEVEL_0 | lang0:lang0.pak:DST_DOJO_UPGRADE_CURENT_LEVEL_0	
Lv.2	94a5150c3883	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_CURENT_LEVEL_1 | lang0:lang0.pak:DST_DOJO_UPGRADE_CURENT_LEVEL_1	
Lv.3	3686cf5af13a	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_CURENT_LEVEL_2 | lang0:lang0.pak:DST_DOJO_UPGRADE_CURENT_LEVEL_2	
Lv.4:Update	e231f1a776f4	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_CURENT_LEVEL_3 | lang0:lang0.pak:DST_DOJO_UPGRADE_CURENT_LEVEL_3	
Lv.5	49c8be87eab5	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_CURENT_LEVEL_4 | lang0:lang0.pak:DST_DOJO_UPGRADE_CURENT_LEVEL_4	
Lv.6:Update	6d2f4f9de41c	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_CURENT_LEVEL_5 | lang0:lang0.pak:DST_DOJO_UPGRADE_CURENT_LEVEL_5	
Lv.7	9ba668214195	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_CURENT_LEVEL_6 | lang0:lang0.pak:DST_DOJO_UPGRADE_CURENT_LEVEL_6	
Lv.8:Update	cee145e91696	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_CURENT_LEVEL_7 | lang0:lang0.pak:DST_DOJO_UPGRADE_CURENT_LEVEL_7	
Main Menu	758da7453531	2	2	lang0,tbl	lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_MAIN | tbl:tbl1.pak:0x018672EF	主菜单 [lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_MAIN]
Majin Outfit	a7f36c7b5fe7	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111702950:0 | tbl:tbl1.pak:0x016930BD	魔人套装 [taiwan:table_text_all_data.rdf:3:111702950:0]
Master Class	4a34d638e2e3	2	2	lang0,tbl	lang0:lang0.pak:DST_QUESTREWARD_CONVERT_CLASS_RIGHT | tbl:tbl1.pak:0x01862F3F	
Maximum LP increase by: %d%%  [DBS]	f5ed02a92248	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALLSCRAMBLE_FOR_BASIC_BENEFIT | lang0:lang0.pak:DST_DRAGONBALLSCRAMBLE_FOR_BASIC_BENEFIT	
Maximum stones reached.	e929364fa5ca	2	2	lang0,taiwan	taiwan:local_data.dat:DST_TABITEMUPGRADE_STONE_MAX | lang0:lang0.pak:DST_TABITEMUPGRADE_STONE_MAX	
Mech Maniac	38a7fb584e24	2	2	lang0,tbl	lang0:lang0.pak:DST_MECH_MANIA | tbl:tbl1.pak:0x01863059	
Minor Match	8255f9bf64ed	2	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_GUIDE_MINOR_TITLE | lang0:lang0.pak:DST_BUDOKAI_NOTICE_GUIDE_MINOR_TITLE	
Mirai Gohan Outfit	12f1ee6e19de	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:10020:0 | tbl:tbl1.pak:0x012D9273	
Mudosa	d36c93374f95	2	2	lang0,tbl	lang0:lang0.pak:DST_BUDOKAI_TELEPORT_MSG_TBSERVER | tbl:tbl1.pak:0x0186620F	
Mummy Outfit	d6182fa5a58a	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111703010:0 | tbl:tbl1.pak:0x01693409	
Mushroom Rocks South	acb0c2d7dd66	2	2	lang0,tbl	lang0:lang0.pak:DST_WORLDMAP_MUSH_SOUTH | tbl:tbl1.pak:0x0180BBEA	
Named Mob	66aff5211469	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:13:10500:0 | tbl:tbl1.pak:0x01865547	
Namek Outfit	b9e3e0b8c3ad	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111702940:0 | tbl:tbl1.pak:0x01693067	那美克套装 [taiwan:table_text_all_data.rdf:3:111702940:0]
Naruto Outfit	d29b935273cf	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000246:0 | tbl:tbl1.pak:0x014B4CAD	
Natsu Dragneel Outfit	707ef2c74936	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000215:0 | tbl:tbl1.pak:0x014B490B	纳兹灭龙外套 [taiwan:table_text_all_data.rdf:3:7000215:0]
Need downgrade protection stone.	39e4433ed310	2	2	lang0,taiwan	taiwan:local_data.dat:DST_TABITEMUPGRADE_NEED_STONE_DOWN | lang0:lang0.pak:DST_TABITEMUPGRADE_NEED_STONE_DOWN	
Network Guts Screen	80d4eb61fcdb	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:826630:0 | tbl:tbl1.pak:0x012F6867	
Next Lv.2	a56106ac7613	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_NEXT_LEVEL_1 | lang0:lang0.pak:DST_DOJO_UPGRADE_NEXT_LEVEL_1	
Next Lv.3	4ab859d476b2	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_NEXT_LEVEL_2 | lang0:lang0.pak:DST_DOJO_UPGRADE_NEXT_LEVEL_2	
Next Lv.4	155fe3e06d65	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_NEXT_LEVEL_3 | lang0:lang0.pak:DST_DOJO_UPGRADE_NEXT_LEVEL_3	
Next Lv.5	749e8d929557	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_NEXT_LEVEL_4 | lang0:lang0.pak:DST_DOJO_UPGRADE_NEXT_LEVEL_4	
Next Lv.6	aa97473c7c07	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_NEXT_LEVEL_5 | lang0:lang0.pak:DST_DOJO_UPGRADE_NEXT_LEVEL_5	
Next Lv.7	3db64e597e7a	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_NEXT_LEVEL_6 | lang0:lang0.pak:DST_DOJO_UPGRADE_NEXT_LEVEL_6	
Next Lv.8	226fab8e0f20	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO_UPGRADE_NEXT_LEVEL_7 | lang0:lang0.pak:DST_DOJO_UPGRADE_NEXT_LEVEL_7	
Nichirin Transmog (Sword)	4944f8b61bcf	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:99199973:0 | tbl:tbl1.pak:0x0165521F	
Nidhogg Dexterity Ring [A]	f2cc05e715a9	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70014180:0 | tbl:tbl1.pak:0x0163F001	
Nidhogg Earring	bd01f85b3f2b	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70014030:0 | tbl:tbl1.pak:0x0163EF01	
Nidhogg Energy Ring [A]	4e4dd9abeae4	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70014200:0 | tbl:tbl1.pak:0x0163F075	
Nidhogg Focus Ring [A]	9218242ca624	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70014240:0 | tbl:tbl1.pak:0x0163F13D	
Nidhogg Soul Ring [A]	5b2f950dbb51	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70014220:0 | tbl:tbl1.pak:0x0163F0DD	
Nidhogg Stamina Ring [A]	09226a0b41d0	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70014140:0 | tbl:tbl1.pak:0x0163EF25	
Nidhogg Strength Ring [A]	3ec9d3ffe513	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:70014160:0 | tbl:tbl1.pak:0x0163EF91	
Nika Smoke	886ab141960e	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000231:0 | tbl:tbl1.pak:0x014B4AA5	尼卡烟雾 [taiwan:table_text_all_data.rdf:3:7000231:0]
No downgrade on special upgrade.	97be11e0613c	2	2	lang0,taiwan	taiwan:local_data.dat:DST_TABITEMUPGRADE_SPECIAL_UPGRADE_NONE_DOWN | lang0:lang0.pak:DST_TABITEMUPGRADE_SPECIAL_UPGRADE_NONE_DOWN	
No Prize	38f2b1e5858e	2	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_NOT_PRIZE | lang0:lang0.pak:DST_BUDOKAI_NOTICE_NOT_PRIZE	
Not enough Zeni for upgrade.	811cd42ee395	2	2	lang0,taiwan	taiwan:local_data.dat:DST_TABITEMUPGRADE_NEEDZENNY_ERR | lang0:lang0.pak:DST_TABITEMUPGRADE_NEEDZENNY_ERR	
Not Scramble Participant	1afb3a369de4	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_I_AM_NOT_PLAYER | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_I_AM_NOT_PLAYER	非龙珠争夺战参与者 [taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_I_AM_NOT_PLAYER]
Note!	1bbad6e4dcde	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_WARNING_TITLE | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CONFIRM_WARNING_TITLE	
NPC	f0cd420723aa	2	2	lang0,taiwan	taiwan:table_text_all_data.rdf:13:9000:0 | lang0:lang0.pak:DST_JOB_TALKER	
Object	2883f191bc5e	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:13:12000:0 | tbl:tbl1.pak:0x01866243	
One Piece Mihawk Outfit.	e6badab5fc2c	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111701138:0 | tbl:tbl1.pak:0x0168B653	
Pan Super Heroes Outfit.	940e026436a1	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111701116:0 | tbl:tbl1.pak:0x0168B421	
Pants	e18669a6edbc	2	2	lang0,taiwan	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_PANTS | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_PANTS	裤子 [taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_PANTS] | 裤子 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_PANTS]
Paragus	ca868a19e757	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:1381110:0 | tbl:tbl1.pak:0x01722894	
Party + Guild	ccaf16d9073a	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_PERF_PLAYER_FILTER_PARTY_GUILD | lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_PARTY_GUILD	队伍+公会 [lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_PARTY_GUILD]
Party + Guild + Friends	0589d9d8d5ed	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_PERF_PLAYER_FILTER_ALL_SOCIAL | lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_ALL_SOCIAL	队伍+公会+好友 [lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_ALL_SOCIAL]
Party Inventory	6a59c655fdc9	2	2	lang0,tbl	lang0:lang0.pak:DST_PARTYGUI_INVEN | tbl:tbl1.pak:0x01867B9D	
Party inventory overflow.	1e151d9f9920	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_ITEM_DICE_FAIL_OVERFLOW_PARTYINVEN | lang0:lang0.pak:GAME_ITEM_DICE_FAIL_OVERFLOW_PARTYINVEN	
